,create_dt,Count
0,1970-01-01,95
1,1970-01-02,73
2,1970-01-03,67
3,1970-01-04,87
4,1970-01-05,87
5,1970-01-06,65
6,1970-01-07,81
7,1970-01-08,68
8,1970-01-09,64
9,1970-01-10,105
10,1970-01-11,108
11,1970-01-12,74
12,1970-01-13,87
13,1970-01-14,85
14,1970-01-15,78
15,1970-01-16,75
16,1970-01-17,98
17,1970-01-18,97
18,1970-01-19,80
19,1970-01-20,92
20,1970-01-21,92
21,1970-01-22,86
22,1970-01-23,59
23,1970-01-24,74
24,1970-01-25,74
25,1970-01-26,80
26,1970-01-27,90
27,1970-01-28,81
28,1970-01-29,110
29,1970-01-30,75
30,1970-01-31,64
31,1970-02-01,90
32,1970-02-02,80
33,1970-02-03,82
34,1970-02-04,69
35,1970-02-05,84
36,1970-02-06,79
37,1970-02-07,71
38,1970-02-08,91
39,1970-02-09,82
40,1970-02-10,88
41,1970-02-11,69
42,1970-02-12,74
43,1970-02-13,79
44,1970-02-14,92
45,1970-02-15,65
46,1970-02-16,95
47,1970-02-17,70
48,1970-02-18,96
49,1970-02-19,90
50,1970-02-20,77
51,1970-02-21,89
52,1970-02-22,83
53,1970-02-23,85
54,1970-02-24,87
55,1970-02-25,89
56,1970-02-26,86
57,1970-02-27,86
58,1970-02-28,89
59,1970-03-01,71
60,1970-03-02,85
61,1970-03-03,95
62,1970-03-04,96
63,1970-03-05,77
64,1970-03-06,84
65,1970-03-07,74
66,1970-03-08,92
67,1970-03-09,69
68,1970-03-10,77
69,1970-03-11,70
70,1970-03-12,92
71,1970-03-13,92
72,1970-03-14,76
73,1970-03-15,77
74,1970-03-16,102
75,1970-03-17,78
76,1970-03-18,85
77,1970-03-19,61
78,1970-03-20,78
79,1970-03-21,87
80,1970-03-22,90
81,1970-03-23,80
82,1970-03-24,97
83,1970-03-25,85
84,1970-03-26,102
85,1970-03-27,79
86,1970-03-28,77
87,1970-03-29,81
88,1970-03-30,94
89,1970-03-31,78
90,1970-04-01,81
91,1970-04-02,70
92,1970-04-03,70
93,1970-04-04,88
94,1970-04-05,93
95,1970-04-06,85
96,1970-04-07,94
97,1970-04-08,86
98,1970-04-09,71
99,1970-04-10,78
